p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.2;5;512;52547.00;512.00;512.00;1643.57;0.103857;0.832259;0.061005;946.87;
0.2;6;512;52547.00;512.00;512.00;1641.00;0.096549;0.802458;0.051847;961.90;
0.2;7;512;52547.00;512.00;512.00;1652.83;0.092887;0.811350;0.044859;943.03;
0.2;8;512;52547.00;512.00;512.00;1649.17;0.088238;0.857628;0.049072;945.17;
0.2;9;512;52547.00;512.00;512.00;1657.17;0.084277;0.843435;0.044124;954.27;
0.2;10;512;52547.00;512.00;512.00;1654.93;0.080349;0.834657;0.040354;957.97;
0.2;11;512;52547.00;512.00;512.00;1645.50;0.077865;0.820801;0.037347;953.27;
0.2;12;512;52547.00;512.00;512.00;1642.77;0.072613;0.811675;0.034226;960.13;
0.2;13;512;52547.00;512.00;512.00;1642.80;0.073090;0.805469;0.031798;954.23;
0.2;14;512;52547.00;512.00;512.00;1654.57;0.070562;0.804481;0.030219;957.73;
0.2;15;512;52547.00;512.00;512.00;1640.40;0.068490;0.800195;0.028575;961.30;
0.2;16;512;52547.00;512.00;512.00;1656.60;0.067828;0.801638;0.026380;962.80;
0.2;17;512;52547.00;512.00;512.00;1644.93;0.067198;0.802724;0.025344;967.20;
0.2;18;512;52547.00;512.00;512.00;1639.13;0.064388;0.812392;0.024811;967.30;
0.2;19;512;52547.00;512.00;512.00;1641.00;0.062988;0.822624;0.024423;968.83;
0.2;20;512;52547.00;512.00;512.00;1642.70;0.062901;0.837381;0.023385;986.57;
0.2;21;512;52547.00;512.00;512.00;1653.73;0.063043;0.861306;0.023984;981.40;
0.2;22;512;52547.00;512.00;512.00;1637.17;0.060569;0.892567;0.026959;980.57;
0.2;23;512;52547.00;512.00;512.00;1640.70;0.062077;0.893490;0.026094;993.83;
0.2;24;512;52547.00;512.00;512.00;1656.60;0.057943;0.889844;0.026388;990.20;
0.2;25;512;52547.00;512.00;512.00;1647.47;0.059570;0.888119;0.024824;994.63;
0.2;26;512;52547.00;512.00;512.00;1648.57;0.054720;0.887728;0.024426;1000.60;
0.2;27;512;52547.00;512.00;512.00;1642.17;0.055827;0.884277;0.023566;1000.63;
0.2;28;512;52547.00;512.00;512.00;1636.40;0.055339;0.882650;0.022795;1006.17;
0.2;29;512;52547.00;512.00;512.00;1658.43;0.055208;0.883398;0.022063;1011.83;
0.2;30;512;52547.00;512.00;512.00;1646.37;0.049902;0.881217;0.022263;1019.53;
0.2;31;512;52547.00;512.00;512.00;1639.70;0.050033;0.876009;0.020377;1020.53;
0.2;32;512;52547.00;512.00;512.00;1656.23;0.052214;0.877930;0.020166;1028.57;
0.2;33;512;52547.00;512.00;512.00;1645.13;0.050293;0.874870;0.019782;1028.37;
0.2;34;512;52547.00;512.00;512.00;1640.83;0.049186;0.872038;0.020184;1030.57;
0.2;35;512;52547.00;512.00;512.00;1645.80;0.046191;0.871615;0.019184;1035.10;
0.2;36;512;52547.00;512.00;512.00;1645.73;0.046680;0.871289;0.018196;1048.27;
0.2;37;512;52547.00;512.00;512.00;1645.63;0.045996;0.868620;0.018035;1044.23;
0.2;38;512;52547.00;512.00;512.00;1636.60;0.046257;0.868587;0.017846;1045.90;
0.2;39;512;52547.00;512.00;512.00;1646.53;0.044108;0.863704;0.017417;1049.27;
0.2;40;512;52547.00;512.00;512.00;1658.33;0.043555;0.861784;0.017331;1051.77;
0.2;41;512;52547.00;512.00;512.00;1639.97;0.043815;0.862956;0.016387;1054.40;
0.2;42;512;52547.00;512.00;512.00;1649.73;0.043457;0.862305;0.016833;1062.70;
0.2;43;512;52547.00;512.00;512.00;1643.30;0.042936;0.853906;0.016646;1067.73;
0.2;44;512;52547.00;512.00;512.00;1644.47;0.043001;0.853581;0.016101;1073.77;
0.2;45;512;52547.00;512.00;512.00;1651.17;0.040527;0.856576;0.016296;1076.70;
0.2;46;512;52547.00;512.00;512.00;1645.50;0.039844;0.855664;0.015253;1073.43;
0.2;47;512;52547.00;512.00;512.00;1645.07;0.041341;0.854134;0.015526;1089.00;
0.2;48;512;52547.00;512.00;512.00;1649.30;0.041081;0.851204;0.014906;1077.37;
0.2;49;512;52547.00;512.00;512.00;1644.30;0.038932;0.849023;0.015122;1085.10;
0.2;50;512;52547.00;512.00;512.00;1643.43;0.038737;0.848307;0.014469;1087.53;
0.2;51;512;52547.00;512.00;512.00;1652.27;0.040007;0.848144;0.014609;1083.00;
0.2;52;512;52547.00;512.00;512.00;1642.57;0.038965;0.846094;0.014192;1106.03;
0.2;53;512;52547.00;512.00;512.00;1641.63;0.036133;0.844661;0.014149;1088.27;
0.2;54;512;52547.00;512.00;512.00;1639.97;0.036523;0.843815;0.013642;1092.90;
0.2;55;512;52547.00;512.00;512.00;1656.57;0.036654;0.847103;0.013777;1094.33;
0.2;56;512;52547.00;512.00;512.00;1636.23;0.037337;0.841048;0.013509;1096.27;
0.2;57;512;52547.00;512.00;512.00;1645.70;0.036035;0.839876;0.013728;1099.27;
0.2;58;512;52547.00;512.00;512.00;1653.17;0.036784;0.838021;0.013261;1102.33;
0.2;59;512;52547.00;512.00;512.00;1653.20;0.035189;0.837695;0.013429;1111.23;
0.2;60;512;52547.00;512.00;512.00;1638.47;0.034538;0.837825;0.013114;1108.33;
